cif,FundID,cust_rlv,fund_rlv
1000055991,01011,5,4
1000056002,PT021,5,4
1000056002,UB028,5,4
1000056002,UB048,5,5
1000056002,04021,5,5
1000056002,PT023,5,4
1000056011,IV035,5,4
1000056011,07042,5,5
1000056016,FC015,5,3
1000056081,FD041,5,4
1000056090,AL004,5,3
1000056090,06017,5,4
1000056102,IN001,5,5
1000056102,01033,5,5
1000056344,11008,5,4
1000056400,JH014,5,4
1000056400,UB047,5,5
1000056406,FD035,5,4
1000057273,AL003,5,3
1000057489,02007,4,3
1000057489,AL003,4,3
1000057509,13008,5,4
1000057509,02007,5,3
1000057528,02007,5,3
1000057667,FD040,5,4
1000057667,UB044,5,5
1000057667,FD036,5,4
1000057959,02007,5,3
1000058378,AL003,5,3
1000058389,FC015,3,3
1000058389,AL003,3,3
1000058416,09007,4,4
1000058434,AB004,5,4
1000058518,JA019,5,3
1000058697,AL003,5,3
1000058697,06017,5,4
1000058762,02007,4,3
1000059256,PI152,4,2
1000059516,PI108,4,2
1000059962,FD060,5,5
1000059962,03034,5,5
1000060419,JA022,5,4
1000060419,03018,5,4
1000060419,PI153,5,3
1000060419,03028,5,5
1000060419,IV035,5,4
1000060419,AL003,5,3
1000060419,UB039,5,4
1000060419,FD035,5,4
1000060419,FD029,5,4
1000060419,06025,5,5
1000060840,FD035,5,4
1000060840,AL003,5,3
1000061580,FD008,5,3
1000061580,16002,5,4
1000061649,AL003,3,3
1000061811,AL003,4,3
1000061811,AL024,4,4
1000061896,AL003,3,3
1000061968,FD010,4,3
1000062000,03034,5,5
1000062000,02012,5,5
1000062000,04020,5,5
1000062000,FD089,5,4
1000062142,03034,5,5
1000062164,FD077,4,3
1000062164,AL003,4,3
1000062227,13008,5,4
1000062227,IV035,5,4
1000062227,06022,5,4
1000062301,FC005,4,4
1000062362,03030,5,5
1000062387,UA002,4,3
1000062448,FD011,3,3
1000062448,FD008,3,3
1000062604,UB041,4,4
1000062829,06017,4,4
1000062871,NE002,5,3
1000062871,SC123,5,3
1000062871,AL003,5,3
1000062871,SC097,5,4
1000062871,NN025,5,3
1000062882,04015,5,4
1000062882,06027,5,5
1000062882,01033,5,5
1000062934,FD008,3,3
1000063473,17006,5,5
1000063536,NN022,3,2
1000063728,AL003,4,3
1000063748,AL003,4,3
1000063927,FC005,4,4
1000064603,IN001,5,5
1000064603,07042,5,5
1000064603,AL024,5,4
1000064603,AL003,5,3
1000064603,UB047,5,5
1000064770,AL003,4,3
1000064770,02007,4,3
1000064796,IV021,5,3
1000064796,03018,5,4
1000064796,03028,5,5
1000064796,FD060,5,5
1000064796,03034,5,5
1000064796,SC010,5,2
1000064796,03003,5,2
1000064796,SC025,5,2
1000064850,02007,3,3
1000065181,FD060,5,5
1000065181,FD056,5,5
1000065181,04023,5,5
1000065181,NN020,5,2
1000065181,FD082,5,3
1000065181,NN024,5,3
1000065204,08018,5,4
1000065213,FD077,5,3
1000065213,AL003,5,3
1000065213,AL004,5,3
1000065213,AL058,5,4
1000065322,06022,5,4
1000065322,03028,5,5
1000065322,03017,5,4
1000065322,03026,5,4
1000065322,03027,5,4
1000065322,01018,5,4
1000065426,02007,3,3
1000065859,06017,4,4
1000065859,03011,4,4
1000065973,02018,3,3
1000066090,06055,4,3
1000066090,NN018,4,5
1000066090,UA002,4,3
1000066092,AL003,4,3
1000066255,FD023,5,4
1000066255,NN025,5,3
1000066372,FD083,4,3
1000066754,13008,5,4
1000066754,IV035,5,4
1000066754,06022,5,4
1000066815,02007,3,3
1000066815,01007,3,3
1000066968,AL003,4,3
1000067517,PI153,3,3
1000067533,AL003,3,3
1000067632,03015,5,4
1000067632,02007,5,3
